Stn Id,Station,Region,Date,DayofYear,CIMIS Eto,Precip,SolRatio,Avg Vap,Max Air Temp ,Min Air Temp,Avg Air Temp,Max Rel Hum,Min Rel Hum,Avg Rel Hum,Dew Pt ,Avg wSpd,Wnd Run,Avg Soil Temp
6,Davis,Sacramento Valley,19/01/2001,19.00,0.06,0.00,0.57,7.00,57.70,34.80,45.00,88.00,43.00,69.00,35.50,4.00,97.20,43.80
6,Davis,Sacramento Valley,20/01/2001,20.00,0.03,0.00,0.41,7.30,53.70,30.30,40.60,96.00,66.00,85.00,36.40,3.00,73.10,43.10
6,Davis,Sacramento Valley,21/01/2001,21.00,0.04,0.00,0.38,7.60,56.40,33.20,44.20,96.00,53.00,77.00,37.40,5.50,133.70,42.90
6,Davis,Sacramento Valley,22/01/2001,22.00,0.06,0.00,0.61,7.60,65.40,35.50,47.20,91.00,40.00,69.00,37.60,3.30,80.80,43.80
6,Davis,Sacramento Valley,23/01/2001,23.00,0.01,0.20,0.16,9.60,50.30,40.20,46.60,95.00,80.00,89.00,43.60,6.30,151.30,44.40
6,Davis,Sacramento Valley,24/01/2001,24.00,0.05,0.00,0.52,8.40,57.00,36.50,46.00,96.00,57.00,79.00,40.00,4.70,112.80,44.90
6,Davis,Sacramento Valley,25/01/2001,25.00,0.01,0.70,0.10,8.50,47.40,37.50,42.40,98.00,81.00,92.00,40.30,7.60,183.30,43.80
6,Davis,Sacramento Valley,26/01/2001,26.00,0.03,0.02,0.44,8.30,49.20,37.30,41.60,100.00,80.00,93.00,39.80,6.80,164.30,43.80
6,Davis,Sacramento Valley,27/01/2001,27.00,0.12,0.00,0.71,6.90,55.90,39.20,47.20,80.00,49.00,62.00,34.90,15.80,381.20,43.70
6,Davis,Sacramento Valley,28/01/2001,28.00,0.05,0.00,0.62,7.60,52.80,29.90,41.50,97.00,69.00,86.00,37.50,3.90,94.90,43.70
6,Davis,Sacramento Valley,29/01/2001,29.00,0.06,0.16,0.63,8.90,53.90,38.90,45.50,98.00,67.00,85.00,41.40,6.30,151.70,44.30
6,Davis,Sacramento Valley,30/01/2001,30.00,0.08,0.00,0.54,6.10,52.80,33.70,43.40,86.00,49.00,63.00,31.80,11.00,264.40,43.70
6,Davis,Sacramento Valley,31/01/2001,31.00,0.09,0.00,0.72,5.80,59.40,32.00,43.30,86.00,31.00,61.00,30.60,6.20,148.60,42.90
6,Davis,Sacramento Valley,01/02/2001,32.00,0.05,0.00,0.62,7.40,57.20,29.50,42.90,97.00,54.00,79.00,36.90,2.90,68.90,42.90
6,Davis,Sacramento Valley,02/02/2001,33.00,0.05,0.00,0.43,7.80,58.30,35.50,46.30,90.00,48.00,73.00,38.00,3.60,87.60,43.90
6,Davis,Sacramento Valley,03/02/2001,34.00,0.09,0.00,0.67,9.20,65.80,36.70,51.50,93.00,46.00,71.00,42.30,5.40,130.30,44.70
6,Davis,Sacramento Valley,04/02/2001,35.00,0.08,0.00,0.68,10.60,68.20,37.50,51.60,98.00,55.00,81.00,46.00,2.50,60.10,46.10
6,Davis,Sacramento Valley,05/02/2001,36.00,0.09,0.00,0.71,9.40,67.70,37.70,51.20,99.00,37.00,73.00,42.90,4.00,96.90,46.40
6,Davis,Sacramento Valley,06/02/2001,37.00,0.08,0.02,0.61,6.90,57.30,38.50,46.70,94.00,39.00,63.00,34.90,6.90,166.80,46.30
6,Davis,Sacramento Valley,07/02/2001,38.00,0.18,0.00,0.74,3.80,54.10,40.10,45.60,51.00,23.00,36.00,20.40,17.90,431.50,44.70
6,Davis,Sacramento Valley,08/02/2001,39.00,0.13,0.00,0.66,4.20,59.30,38.60,46.80,74.00,19.00,39.00,23.00,10.50,252.70,43.90
6,Davis,Sacramento Valley,09/02/2001,40.00,0.02,0.85,0.21,8.40,49.30,40.50,43.80,91.00,76.00,87.00,40.20,9.60,232.00,44.00
6,Davis,Sacramento Valley,10/02/2001,41.00,0.05,0.29,0.47,8.60,51.10,41.00,44.30,93.00,73.00,86.00,40.60,9.40,226.30,43.80
6,Davis,Sacramento Valley,11/02/2001,42.00,0.07,0.41,0.63,8.20,51.10,40.20,44.50,96.00,66.00,82.00,39.30,9.90,238.60,44.10
6,Davis,Sacramento Valley,12/02/2001,43.00,0.01,0.60,0.19,7.70,44.30,35.60,39.60,97.00,85.00,92.00,37.60,7.50,181.70,43.50
6,Davis,Sacramento Valley,13/02/2001,44.00,0.14,0.00,0.61,6.30,57.50,36.70,46.10,89.00,42.00,59.00,32.70,15.60,375.40,42.80
6,Davis,Sacramento Valley,14/02/2001,45.00,0.08,0.00,0.72,7.90,58.30,33.70,45.10,97.00,55.00,78.00,38.60,3.60,85.90,43.90
6,Davis,Sacramento Valley,15/02/2001,46.00,0.07,0.00,0.62,8.40,56.10,31.30,43.30,100.00,67.00,88.00,40.10,2.40,57.90,44.40
6,Davis,Sacramento Valley,16/02/2001,47.00,0.09,0.00,0.14,8.80,58.80,40.20,49.20,94.00,51.00,74.00,41.20,2.80,66.70,46.90
6,Davis,Sacramento Valley,17/02/2001,48.00,0.00,0.17,0.11,9.50,50.50,39.20,45.80,96.00,82.00,91.00,43.20,2.50,61.40,45.50
6,Davis,Sacramento Valley,18/02/2001,49.00,0.02,0.09,0.24,11.30,55.50,46.00,49.80,98.00,83.00,93.00,47.80,3.00,73.40,46.40
6,Davis,Sacramento Valley,19/02/2001,50.00,0.06,0.44,0.43,10.50,57.70,43.90,49.70,99.00,68.00,86.00,45.70,8.70,209.90,47.00
6,Davis,Sacramento Valley,20/02/2001,51.00,0.03,0.28,0.29,10.90,55.50,47.00,50.00,94.00,81.00,89.00,46.90,7.30,175.10,47.20
6,Davis,Sacramento Valley,21/02/2001,52.00,0.05,0.19,0.42,10.60,58.30,41.60,49.70,97.00,69.00,88.00,46.20,7.90,191.10,47.80
6,Davis,Sacramento Valley,22/02/2001,53.00,0.07,0.63,0.51,8.70,54.80,41.90,47.40,94.00,63.00,78.00,41.00,7.80,188.60,47.10
6,Davis,Sacramento Valley,23/02/2001,54.00,0.09,0.30,0.68,8.80,56.10,40.20,46.60,96.00,59.00,81.00,41.10,7.10,171.60,46.80
6,Davis,Sacramento Valley,24/02/2001,55.00,0.00,0.55,0.10,9.40,47.80,42.20,45.00,95.00,90.00,93.00,43.00,10.50,253.60,46.10
6,Davis,Sacramento Valley,25/02/2001,56.00,0.09,0.00,0.63,9.70,60.20,43.80,50.50,92.00,57.00,78.00,43.90,6.80,164.10,46.90
6,Davis,Sacramento Valley,26/02/2001,57.00,0.11,0.00,0.62,9.50,63.90,43.50,51.70,95.00,58.00,73.00,43.30,8.10,194.30,48.10
6,Davis,Sacramento Valley,27/02/2001,58.00,0.18,0.00,0.77,7.10,66.70,41.60,53.20,95.00,30.00,51.00,35.60,12.50,300.90,48.00
6,Davis,Sacramento Valley,28/02/2001,59.00,0.15,0.00,0.76,6.10,60.60,37.00,48.30,92.00,28.00,53.00,32.00,9.90,239.20,47.20
6,Davis,Sacramento Valley,01/03/2001,60.00,0.07,0.07,0.50,8.40,58.10,32.10,46.30,98.00,50.00,79.00,40.20,4.30,104.10,46.50
6,Davis,Sacramento Valley,02/03/2001,61.00,0.03,0.79,0.31,10.00,55.40,39.30,46.40,99.00,82.00,93.00,44.40,5.30,128.50,47.00
6,Davis,Sacramento Valley,03/03/2001,62.00,0.03,0.20,0.28,9.30,52.30,34.80,44.70,99.00,77.00,93.00,42.80,4.10,98.50,46.70
6,Davis,Sacramento Valley,04/03/2001,63.00,0.02,1.05,0.09,11.10,56.70,45.70,51.50,99.00,65.00,86.00,47.40,11.00,266.50,47.50
6,Davis,Sacramento Valley,05/03/2001,64.00,0.05,0.11,0.32,12.20,61.10,48.30,53.60,97.00,69.00,87.00,49.80,7.00,168.90,48.60
6,Davis,Sacramento Valley,06/03/2001,65.00,0.11,0.00,0.57,11.80,68.70,46.80,56.60,95.00,59.00,75.00,48.90,7.40,178.00,50.10
6,Davis,Sacramento Valley,07/03/2001,66.00,0.11,0.00,0.72,12.20,67.40,42.00,54.10,99.00,64.00,85.00,49.70,5.50,131.60,50.90
6,Davis,Sacramento Valley,08/03/2001,67.00,0.09,0.00,0.55,11.40,61.80,45.70,52.30,95.00,69.00,85.00,47.90,6.90,166.60,51.20
6,Davis,Sacramento Valley,09/03/2001,68.00,0.15,0.00,0.73,8.40,61.10,43.20,51.70,94.00,37.00,64.00,40.00,9.70,235.30,50.80
6,Davis,Sacramento Valley,10/03/2001,69.00,0.18,0.00,0.75,7.30,65.20,45.00,53.60,82.00,35.00,52.00,36.60,11.30,273.70,50.10
6,Davis,Sacramento Valley,11/03/2001,70.00,0.14,0.00,0.68,8.50,66.80,37.30,52.10,97.00,33.00,64.00,40.30,6.50,157.20,50.10
6,Davis,Sacramento Valley,12/03/2001,71.00,0.14,0.00,0.76,8.00,70.40,43.10,55.20,85.00,30.00,54.00,38.80,4.90,118.40,50.80
6,Davis,Sacramento Valley,13/03/2001,72.00,0.13,0.00,0.75,10.60,72.10,38.10,53.50,97.00,46.00,75.00,46.00,2.80,66.60,51.50
6,Davis,Sacramento Valley,14/03/2001,73.00,0.14,0.00,0.71,9.80,70.10,40.60,54.10,99.00,26.00,69.00,44.00,4.70,114.20,52.10
6,Davis,Sacramento Valley,15/03/2001,74.00,0.07,0.00,0.44,9.40,66.50,37.60,51.10,96.00,47.00,73.00,42.80,2.50,59.30,51.00
6,Davis,Sacramento Valley,16/03/2001,75.00,0.16,0.00,0.74,8.10,66.80,40.60,53.40,95.00,25.00,58.00,39.00,5.80,139.70,50.90
6,Davis,Sacramento Valley,17/03/2001,76.00,0.13,0.00,0.67,10.50,73.60,41.80,57.90,92.00,39.00,64.00,45.80,2.40,57.80,51.70
6,Davis,Sacramento Valley,18/03/2001,77.00,0.15,0.00,0.73,12.70,80.80,43.70,61.40,94.00,37.00,68.00,50.80,3.70,89.70,53.40
6,Davis,Sacramento Valley,19/03/2001,78.00,0.13,0.00,0.66,14.40,78.50,47.20,62.50,96.00,50.00,75.00,54.40,2.70,65.60,54.80
6,Davis,Sacramento Valley,20/03/2001,79.00,0.13,0.01,0.59,15.80,78.70,52.30,65.30,96.00,51.00,74.00,56.80,3.00,71.30,56.20
6,Davis,Sacramento Valley,21/03/2001,80.00,0.15,0.00,0.67,15.10,79.10,52.40,63.30,93.00,51.00,76.00,55.50,4.80,116.70,57.30
6,Davis,Sacramento Valley,22/03/2001,81.00,0.15,0.00,0.71,13.20,72.30,50.00,58.60,91.00,59.00,79.00,51.90,5.40,130.50,57.10
6,Davis,Sacramento Valley,23/03/2001,82.00,0.14,0.00,0.70,12.30,70.10,44.80,57.20,94.00,60.00,77.00,50.10,4.70,113.00,56.80
6,Davis,Sacramento Valley,24/03/2001,83.00,0.14,0.04,0.61,13.50,69.60,48.30,58.50,94.00,62.00,81.00,52.60,8.80,212.40,56.50
6,Davis,Sacramento Valley,25/03/2001,84.00,0.15,0.00,0.68,10.30,67.90,45.80,57.50,95.00,34.00,64.00,45.30,4.70,113.50,56.80
6,Davis,Sacramento Valley,26/03/2001,85.00,0.19,0.00,0.75,8.00,73.80,43.00,57.30,86.00,20.00,50.00,38.80,6.40,155.10,55.60
6,Davis,Sacramento Valley,27/03/2001,86.00,0.20,0.00,0.69,9.10,77.80,46.10,61.30,82.00,19.00,49.00,42.20,6.70,160.80,55.30
6,Davis,Sacramento Valley,28/03/2001,87.00,0.18,0.00,0.70,13.10,81.30,52.60,64.30,87.00,34.00,64.00,51.70,5.80,140.20,56.80
6,Davis,Sacramento Valley,29/03/2001,88.00,0.26,0.00,0.76,9.30,80.20,44.10,64.10,92.00,24.00,45.00,42.50,9.20,220.90,56.90
6,Davis,Sacramento Valley,30/03/2001,89.00,0.28,0.00,0.75,7.50,82.80,57.00,69.00,53.00,13.00,31.00,37.10,10.30,249.80,57.10
6,Davis,Sacramento Valley,31/03/2001,90.00,0.22,0.00,0.76,10.90,83.70,51.70,66.50,79.00,26.00,49.00,46.70,6.60,158.70,57.60
6,Davis,Sacramento Valley,01/04/2001,91.00,0.18,0.00,0.71,10.40,72.50,43.90,56.70,88.00,46.00,66.00,45.60,6.60,159.80,57.40
6,Davis,Sacramento Valley,02/04/2001,92.00,0.15,0.00,0.66,5.60,60.90,38.20,50.20,70.00,27.00,45.00,29.70,6.00,146.00,55.20
6,Davis,Sacramento Valley,03/04/2001,93.00,0.15,0.00,0.76,5.40,58.90,30.80,46.00,80.00,30.00,51.00,29.00,3.80,91.40,53.60
6,Davis,Sacramento Valley,04/04/2001,94.00,0.17,0.00,0.72,5.90,63.90,34.40,50.10,77.00,24.00,48.00,31.20,5.40,129.40,57.10
6,Davis,Sacramento Valley,05/04/2001,95.00,0.19,0.00,0.76,7.30,68.40,38.60,53.10,77.00,25.00,53.00,36.40,6.90,167.00,58.70
6,Davis,Sacramento Valley,06/04/2001,96.00,0.02,0.68,0.15,9.60,51.40,44.40,47.90,96.00,61.00,85.00,43.50,8.10,196.30,55.80
6,Davis,Sacramento Valley,07/04/2001,97.00,0.08,0.04,0.42,8.20,56.40,36.20,46.60,91.00,48.00,75.00,39.30,5.80,138.90,54.80
6,Davis,Sacramento Valley,08/04/2001,98.00,0.12,0.00,0.58,7.40,56.30,31.40,43.70,95.00,54.00,77.00,36.90,4.50,109.10,54.10
6,Davis,Sacramento Valley,09/04/2001,99.00,0.22,0.00,0.78,6.70,65.80,38.60,51.30,94.00,26.00,52.00,34.40,10.70,257.80,54.70
6,Davis,Sacramento Valley,10/04/2001,100.00,0.22,0.00,0.74,6.90,68.70,45.20,56.00,76.00,22.00,45.00,35.00,10.40,251.40,55.10
6,Davis,Sacramento Valley,11/04/2001,101.00,0.16,0.00,0.61,9.30,67.50,40.40,52.80,90.00,35.00,68.00,42.50,6.60,158.10,55.60
6,Davis,Sacramento Valley,12/04/2001,102.00,0.18,0.00,0.72,7.50,66.30,36.80,51.50,94.00,30.00,58.00,37.20,5.70,138.10,55.40
6,Davis,Sacramento Valley,13/04/2001,103.00,0.16,0.00,0.67,8.70,61.90,41.80,51.70,86.00,48.00,67.00,41.00,6.70,162.30,55.20
6,Davis,Sacramento Valley,14/04/2001,104.00,0.17,0.00,0.71,8.70,66.10,34.60,51.40,95.00,43.00,67.00,40.90,4.20,102.20,55.50
6,Davis,Sacramento Valley,15/04/2001,105.00,0.19,0.00,0.74,8.00,69.30,38.50,53.30,87.00,31.00,58.00,38.80,5.10,123.60,56.10
6,Davis,Sacramento Valley,16/04/2001,106.00,0.20,0.00,0.71,9.20,67.10,43.90,56.00,83.00,36.00,60.00,42.30,6.90,167.60,56.50
6,Davis,Sacramento Valley,17/04/2001,107.00,0.19,0.00,0.72,11.40,73.30,45.60,59.90,96.00,42.00,65.00,48.00,3.90,95.30,57.50
6,Davis,Sacramento Valley,18/04/2001,108.00,0.15,0.00,0.50,10.70,71.00,44.50,56.70,88.00,49.00,68.00,46.40,6.90,167.60,57.70
6,Davis,Sacramento Valley,19/04/2001,109.00,0.15,0.00,0.56,8.90,63.90,43.60,52.50,89.00,42.00,66.00,41.50,6.50,157.80,56.70
6,Davis,Sacramento Valley,20/04/2001,110.00,0.04,0.31,0.23,9.60,52.00,41.00,46.50,95.00,82.00,89.00,43.30,6.90,166.80,54.80
6,Davis,Sacramento Valley,21/04/2001,111.00,0.18,0.00,0.71,9.40,68.70,40.20,53.10,97.00,27.00,68.00,42.90,5.50,133.90,54.80
6,Davis,Sacramento Valley,22/04/2001,112.00,0.19,0.00,0.72,11.50,71.50,45.00,57.10,94.00,41.00,72.00,48.20,5.90,141.70,56.30
6,Davis,Sacramento Valley,23/04/2001,113.00,0.20,0.00,0.72,11.40,77.20,41.90,60.30,96.00,33.00,64.00,48.00,3.60,85.70,57.80
6,Davis,Sacramento Valley,24/04/2001,114.00,0.22,0.00,0.73,12.60,84.70,47.00,67.40,94.00,29.00,55.00,50.70,3.50,84.60,59.30
6,Davis,Sacramento Valley,25/04/2001,115.00,0.23,0.00,0.72,13.40,87.20,53.50,69.30,87.00,25.00,55.00,52.30,3.80,92.70,60.80
6,Davis,Sacramento Valley,26/04/2001,116.00,0.22,0.00,0.75,13.30,82.30,48.00,64.00,93.00,41.00,65.00,52.10,4.90,118.70,61.20
6,Davis,Sacramento Valley,27/04/2001,117.00,0.22,0.00,0.72,11.30,79.70,46.10,60.50,89.00,32.00,63.00,47.80,7.40,178.70,60.30
6,Davis,Sacramento Valley,28/04/2001,118.00,0.19,0.00,0.63,9.80,69.90,46.70,58.90,89.00,34.00,58.00,44.00,5.80,140.30,59.70
6,Davis,Sacramento Valley,29/04/2001,119.00,0.22,0.00,0.73,8.80,79.10,40.50,60.30,88.00,21.00,49.00,41.10,4.30,102.70,59.60
6,Davis,Sacramento Valley,30/04/2001,120.00,0.23,0.00,0.73,12.50,82.50,46.60,66.20,87.00,34.00,57.00,50.50,3.90,94.20,60.60
6,Davis,Sacramento Valley,01/05/2001,121.00,0.36,0.00,0.75,7.20,81.90,53.70,68.30,84.00,13.00,31.00,36.20,12.70,307.20,61.20
6,Davis,Sacramento Valley,02/05/2001,122.00,0.45,0.00,0.77,4.90,75.80,53.70,63.90,35.00,16.00,24.00,26.40,21.90,529.20,59.00
6,Davis,Sacramento Valley,03/05/2001,123.00,0.38,0.00,0.77,5.00,82.10,50.80,66.50,40.00,13.00,22.00,27.00,14.20,342.20,58.50
6,Davis,Sacramento Valley,04/05/2001,124.00,0.25,0.00,0.75,7.20,85.90,45.20,67.50,71.00,14.00,31.00,36.20,4.10,98.00,59.50
6,Davis,Sacramento Valley,05/05/2001,125.00,0.27,0.00,0.75,8.90,88.30,47.60,69.40,80.00,10.00,36.00,41.50,5.10,122.90,60.80
6,Davis,Sacramento Valley,06/05/2001,126.00,0.27,0.00,0.75,8.10,90.50,48.60,71.40,76.00,11.00,31.00,39.00,4.60,110.80,61.30
6,Davis,Sacramento Valley,07/05/2001,127.00,0.28,0.00,0.75,10.70,94.90,53.60,75.10,64.00,17.00,36.00,46.20,4.60,111.00,62.30
6,Davis,Sacramento Valley,08/05/2001,128.00,0.26,0.00,0.73,12.90,95.60,54.70,76.30,75.00,23.00,42.00,51.30,3.70,89.10,63.80
6,Davis,Sacramento Valley,09/05/2001,129.00,0.27,0.00,0.73,12.70,94.00,56.80,74.20,73.00,21.00,44.00,50.80,4.30,104.80,65.00
6,Davis,Sacramento Valley,10/05/2001,130.00,0.30,0.00,0.74,11.00,95.70,54.50,75.70,78.00,14.00,36.00,47.00,5.80,139.10,65.10
6,Davis,Sacramento Valley,11/05/2001,131.00,0.28,0.00,0.74,11.90,89.90,52.80,71.90,82.00,18.00,45.00,49.20,4.80,115.70,65.30
6,Davis,Sacramento Valley,12/05/2001,132.00,0.25,0.00,0.66,11.70,80.10,54.20,63.90,77.00,35.00,58.00,48.60,8.90,215.10,64.90
6,Davis,Sacramento Valley,13/05/2001,133.00,0.23,0.00,0.73,12.00,76.20,51.40,60.90,84.00,46.00,66.00,49.40,7.50,180.40,63.70
6,Davis,Sacramento Valley,14/05/2001,134.00,0.23,0.00,0.65,9.90,82.60,47.60,65.50,86.00,21.00,46.00,44.30,4.90,118.70,63.70
6,Davis,Sacramento Valley,15/05/2001,135.00,0.20,0.00,0.53,14.40,80.30,57.10,67.20,81.00,49.00,63.00,54.20,6.40,154.00,64.40
6,Davis,Sacramento Valley,16/05/2001,136.00,0.26,0.01,0.73,12.80,82.50,52.40,67.60,92.00,27.00,55.00,51.10,5.30,128.90,65.00
6,Davis,Sacramento Valley,17/05/2001,137.00,0.26,0.00,0.73,12.30,87.50,50.00,69.40,86.00,27.00,50.00,50.10,4.30,104.20,65.40
6,Davis,Sacramento Valley,18/05/2001,138.00,0.33,0.00,0.73,12.20,91.20,54.10,73.60,84.00,21.00,43.00,49.80,7.90,191.70,65.90
6,Davis,Sacramento Valley,19/05/2001,139.00,0.37,0.00,0.74,10.50,96.40,61.80,81.50,66.00,15.00,28.00,45.70,10.30,249.80,66.30
6,Davis,Sacramento Valley,20/05/2001,140.00,0.38,0.00,0.75,10.50,97.60,--,85.30,38.00,16.00,25.00,45.80,13.30,322.10,67.10
6,Davis,Sacramento Valley,21/05/2001,141.00,0.36,0.00,0.75,10.60,98.10,63.10,83.60,65.00,14.00,27.00,46.00,10.80,261.80,67.60
6,Davis,Sacramento Valley,22/05/2001,142.00,0.27,0.00,0.73,14.30,94.10,57.70,75.00,78.00,28.00,48.00,54.20,4.40,105.00,67.90
6,Davis,Sacramento Valley,23/05/2001,143.00,0.28,0.00,0.75,12.80,96.70,54.20,74.40,84.00,16.00,44.00,51.10,4.20,101.30,68.30
6,Davis,Sacramento Valley,24/05/2001,144.00,0.30,0.00,0.76,11.80,96.40,54.50,75.50,80.00,17.00,39.00,48.80,4.70,112.30,68.60
6,Davis,Sacramento Valley,25/05/2001,145.00,0.26,0.00,0.66,11.00,91.10,52.40,70.50,74.00,18.00,43.00,47.00,4.90,117.80,68.30
6,Davis,Sacramento Valley,26/05/2001,146.00,0.27,0.00,0.76,12.40,84.00,49.50,64.90,89.00,34.00,59.00,50.30,6.70,161.20,67.30
6,Davis,Sacramento Valley,27/05/2001,147.00,0.26,0.00,0.70,11.30,81.50,50.50,62.80,87.00,24.00,58.00,47.70,8.50,206.20,65.80
6,Davis,Sacramento Valley,28/05/2001,148.00,0.25,0.00,0.74,11.50,80.90,47.20,63.90,87.00,31.00,57.00,48.20,5.80,139.40,65.20
6,Davis,Sacramento Valley,29/05/2001,149.00,0.31,0.00,0.75,10.20,92.20,51.50,72.90,82.00,13.00,37.00,45.00,5.70,137.90,65.80
6,Davis,Sacramento Valley,30/05/2001,150.00,0.41,0.00,0.76,10.20,99.20,66.10,83.40,45.00,15.00,26.00,45.00,11.00,264.80,62.20
6,Davis,Sacramento Valley,31/05/2001,151.00,0.31,0.00,0.76,12.60,101.90,65.10,83.10,64.00,15.00,33.00,50.80,5.00,120.00,65.60
6,Davis,Sacramento Valley,01/06/2001,152.00,0.29,0.00,0.66,13.10,87.20,58.20,72.70,72.00,32.00,48.00,51.70,9.20,221.10,65.70
6,Davis,Sacramento Valley,02/06/2001,153.00,0.27,0.00,0.75,11.40,79.60,50.70,65.70,80.00,31.00,53.00,48.10,6.90,167.70,65.70
6,Davis,Sacramento Valley,03/06/2001,154.00,0.36,0.00,0.78,6.90,81.90,51.70,68.10,83.00,13.00,29.00,34.90,10.50,252.70,64.80
6,Davis,Sacramento Valley,04/06/2001,155.00,0.35,0.00,0.77,7.10,84.60,59.90,71.80,51.00,14.00,27.00,35.70,10.40,251.00,64.50
6,Davis,Sacramento Valley,05/06/2001,156.00,0.29,0.00,0.73,9.30,84.40,52.90,69.30,70.00,19.00,38.00,42.70,6.30,150.90,65.20
6,Davis,Sacramento Valley,06/06/2001,157.00,0.28,0.00,0.75,12.30,91.50,50.50,71.40,92.00,22.00,47.00,50.10,4.70,113.80,62.20
6,Davis,Sacramento Valley,07/06/2001,158.00,0.30,0.00,0.75,12.80,95.00,56.30,76.50,86.00,17.00,41.00,51.00,4.80,115.20,63.70
6,Davis,Sacramento Valley,08/06/2001,159.00,0.32,0.00,0.76,11.10,92.90,56.20,74.40,75.00,17.00,38.00,47.20,6.20,150.30,66.70
6,Davis,Sacramento Valley,09/06/2001,160.00,0.28,0.00,0.76,12.50,85.10,53.60,68.70,82.00,29.00,52.00,50.40,6.20,150.20,67.00
6,Davis,Sacramento Valley,10/06/2001,161.00,0.27,0.00,0.75,12.40,83.10,50.80,67.20,86.00,33.00,55.00,50.30,5.70,138.70,67.00
6,Davis,Sacramento Valley,11/06/2001,162.00,0.25,0.00,0.66,13.30,84.70,54.90,69.20,80.00,34.00,54.00,52.10,5.00,120.90,67.10
6,Davis,Sacramento Valley,12/06/2001,163.00,0.28,0.00,0.76,10.90,84.80,55.10,70.80,86.00,16.00,42.00,46.80,4.90,117.20,67.20
6,Davis,Sacramento Valley,13/06/2001,164.00,0.41,0.00,0.78,7.00,86.80,60.00,73.70,45.00,15.00,25.00,35.50,13.00,313.80,65.80
6,Davis,Sacramento Valley,14/06/2001,165.00,0.29,0.00,0.76,9.70,94.00,55.10,75.50,59.00,14.00,32.00,43.90,4.00,97.50,66.30
6,Davis,Sacramento Valley,15/06/2001,166.00,0.30,0.00,0.76,11.80,93.40,57.60,74.20,79.00,16.00,41.00,48.80,5.10,123.00,67.60
6,Davis,Sacramento Valley,16/06/2001,167.00,0.30,0.00,0.76,12.50,96.50,51.10,75.50,92.00,16.00,41.00,50.40,4.50,107.60,64.10
